short_name,skip_score,location_city,cussine_list
beagle 14,72,Calgary,Pub Food
beckham's pub & eatery,94,Calgary,Pub Food
beefers,75,Calgary,Pub Food
beefun,80,Calgary,"Thai, Chinese, Vietnamese"
beer revolution craft beer & pizza bar,82,Calgary,Pub Food
beirut bakery,91,Calgary,Middle Eastern
beirut street food,95,Calgary,"Middle Eastern, Mediterranean"
bell's pizza,94,Calgary,"Fast Food, Mexican"
bella amore,82,Calgary,Italian
bellyful authentic caribbean cuisine,83,Calgary,Caribbean
bennys breakfast bar,95,Calgary,Fast Food
best choice pizza,72,Calgary,"Fast Food, Mediterranean"
big al's bar & grill,88,Calgary,Pub Food
big catch,88,Calgary,Japanese
big catch sushi,75,Calgary,Japanese
big fun play centre,80,Calgary,"Pub Food, Mexican"
big john's pizza & donairs,95,Calgary,"Pub Food, Italian"
big smoke burger,87,Calgary,"Fast Food, Pub Food"
big wok chinese kitchen,80,Calgary,Chinese
bikaner sweets house & restaurant,79,Calgary,Middle Eastern
bill's peking house,82,Calgary,Chinese
billoos indian cuisine,88,Calgary,Indian
binh minh kitchen & bar,75,Calgary,"Fast Food, Vietnamese"
bird dawgs,82,Calgary,Pub Food
bistro marcel,93,Calgary,Fast Food
bistro rouge,80,Calgary,French
black betty burger & wine bar,82,Calgary,Italian
black pearl,63,Calgary,Japanese
black salt bistro,80,Calgary,Fast Food
black swan ale house,80,Calgary,Pub Food
blackbird public urban bar,79,Calgary,Pub Food
blanco cantina,80,Calgary,Mexican
blaze pizza,93,Calgary,Italian
blind beggar smokehouse,72,Calgary,Pub Food
blowers & grafton - creekside,85,Calgary,Pub Food
blowers & grafton - mission,90,Calgary,Pub Food
blowfish sushi lounge,80,Calgary,Japanese
blue nile,80,Calgary,Ethiopian
blue ocean vietnamese restaurant,99,Calgary,Vietnamese
blue river bistro,80,Calgary,Fast Food
boardwalk burgers,72,Calgary,"Fast Food, Pub Food"
boardwalk fries burgers shakes,67,Calgary,"Fast Food, Pub Food"
bobby chao's,77,Calgary,"Vietnamese, Chinese"
bocce pizzeria & bar,80,Calgary,Italian
boddums up pub,84,Calgary,Pub Food
bodega,88,Calgary,Mexican
bollywood spice fusion indian kitchen and bar,80,Calgary,Indian
bolsa vietnamese,96,Calgary,Vietnamese
bombay bakery & sweets,94,Calgary,Indian
bombay chowpatty,81,Calgary,Indian
bombay curry,80,Calgary,"Fast Food, Indian"
bombay spice restaurant,80,Calgary,Indian
bombay spice restaurant - just eat,75,Calgary,Indian
bombay spices,82,Calgary,Indian
bombay sweet house,80,Calgary,Indian
bon-ga korean restaurant,75,Calgary,Korean
bonasera pizza & sports bar,97,Calgary,"Pub Food, Italian"
bonasera pizza restaurant,97,Calgary,Italian
bonavista peking house,97,Calgary,Chinese
bootlegger's sports bar & karaoke lounge,95,Calgary,Pub Food
border crossing,86,Calgary,"Fast Food, Pub Food"
bori korean restaurant,90,Calgary,"Korean, Japanese"
borobudur resto,80,Calgary,Korean
boss is very busy restaurant,80,Calgary,Chinese
boston pizza,95,Calgary,"Pub Food, Italian"
bottlehouse pub & eatery,82,Calgary,Pub Food
bottlescrew bill's pub,79,Calgary,Pub Food
bow river vietnamese restaurant,96,Calgary,Vietnamese
bowness convenience,88,Calgary,Convenience
bowness pub,80,Calgary,Pub Food
boxcar cafe,80,Calgary,Pub Food
boxer's chicken,93,Calgary,Fast Food
bravo restaurant,100,Calgary,Mexican
breizh bistrot,80,Calgary,French
brewsters brewing company,75,Calgary,Pub Food
brickwell taphouse,82,Calgary,Pub Food
bridgeland shawarma,93,Calgary,Mediterranean
briggs kitchen and bar,72,Calgary,Pub Food
broaster chicken,98,Calgary,Pub Food
broken plate greek restaurant yyc,99,Calgary,Mediterranean
brother's pizza and donair,80,Calgary,Fast Food
brother's taste of asia,99,Calgary,Chinese
brothers kitchen,81,Calgary,Ethiopian
browns socialhouse,96,Calgary,Pub Food
bubble sushi,80,Calgary,Japanese
buddha's veggie,82,Calgary,Chinese
buffalo bob's,96,Calgary,Pub Food
buffet yangtze,80,Calgary,Chinese
bull & finch pub,80,Calgary,Pub Food
bun + burger,89,Calgary,Pub Food
bun mee vietnamese subs,75,Calgary,Vietnamese
buon giorno ristorante italiano,67,Calgary,Italian
burger king,81,Calgary,Fast Food
burnin bird,73,Calgary,Fast Food
burrito bowl,72,Calgary,Mexican
bushmills irish pub,80,Calgary,Pub Food
buster's pizza & donair,84,Calgary,"Pub Food, Italian"
butter chicken house,72,Calgary,Indian
butter chicken hut,95,Calgary,Indian
butter chicken hut and indian cuisine,99,Calgary,"Indian, Mediterranean, Pub Food, Fast Food, Italian"
bình vietnamese restaurant,92,Calgary,Vietnamese
c.b. drive inn,94,Calgary,"Fast Food, Pub Food"
ca'puccini pizza,78,Calgary,Italian
cabeza grande bridgeland,89,Calgary,Mexican
cafe 100%,97,Calgary,Chinese
cafe med,94,Calgary,"Middle Eastern, Mediterranean"
cafe med restaurant & shisha lounge,93,Calgary,Middle Eastern
cafe momoko korean restaurant,78,Calgary,Korean
calan beef noodle,85,Calgary,Fast Food
