short_name,skip_score,location_city,cussine_list
greek next door,93,Calgary,"Italian, Mediterranean"
greektown,80,Calgary,Mediterranean
green bottle kitchen & soju,93,Calgary,Korean
green chili,92,Calgary,Indian
green cilantro,72,Calgary,Vietnamese
greenfish,93,Calgary,Japanese
greenwich pizza,80,Calgary,Fast Food
greta global street food,93,Calgary,"Pub Food, Korean, Japanese"
grill city,80,Calgary,Fast Food
gringo street,91,Calgary,"Latin American, Mexican"
grumans catering and delicatessen,95,Calgary,Pub Food
gully st,72,Calgary,Indian
guru india,74,Calgary,"Indian, Chinese"
gusto italian,80,Calgary,Italian
gyu-kaku japanese bbq,90,Calgary,Japanese
h & j bistro,80,Calgary,Chinese
ha long bay vietnamese cuisine,80,Calgary,Vietnamese
ha long bay vietnamese cuisines,90,Calgary,Vietnamese
haandi indian cuisine,94,Calgary,Indian
habebe's,78,Calgary,"Middle Eastern, Mediterranean"
habesha ethiopian restaurant,93,Calgary,Ethiopian
habibi shawarma,80,Calgary,Mediterranean
halal biryani,80,Calgary,"Middle Eastern, Indian"
han corea,97,Calgary,Korean
han's restaurant,80,Calgary,Chinese
hana sushi,93,Calgary,Japanese
hanbo korean noodle,92,Calgary,Korean
hankki korean street food,99,Calgary,Korean
hankook chicken,99,Calgary,"Korean, Japanese"
hannah's kitchen,86,Calgary,Fast Food
hapa izakaya,80,Calgary,Japanese
hapa izakaya - just eat,75,Calgary,Japanese
happee peeps,90,Calgary,Filipino
happy lamb hot pot,82,Calgary,Chinese
happy veggie house,93,Calgary,"Thai, Chinese, Vietnamese"
harmony restaurant and bar,91,Calgary,"Pub Food, Mediterranean"
haru sushi & grill,80,Calgary,Japanese
haru sushi bar,91,Calgary,Japanese
harvest convenience,93,Calgary,Convenience
harvey's,83,Calgary,Fast Food
harvey's - just eat,75,Calgary,Fast Food
haveli sweets,80,Calgary,Indian
hayat shawarma,75,Calgary,"Middle Eastern, Mediterranean"
heart of saigon,82,Calgary,"Pub Food, Vietnamese"
hearts choices,72,Calgary,Thai
hearts choices cafe market,93,Calgary,Thai
hearts choices thai vegan cafe,82,Calgary,Thai
heaven artisan gf,95,Calgary,"Latin American, Thai, Mexican, Spanish, Italian"
heaven artisan gf - just eat,75,Calgary,"Thai, Italian"
hermanos peri peri,80,Calgary,Indian
hexter's pub,80,Calgary,Pub Food
hey! i am yogost,93,Calgary,Chinese
hi-ball restaurant,88,Calgary,Chinese
homey food,86,Calgary,"Thai, Vietnamese"
honest fast food,80,Calgary,"Fast Food, Indian"
hong an vietnamese cuisine,98,Calgary,"Fast Food, Vietnamese"
hong an vietnamese cuisine-dnu-,80,Calgary,Vietnamese
hong chou inn,89,Calgary,Chinese
hong kong garden restaurant,98,Calgary,Chinese
horizons bistro,80,Calgary,"Pub Food, Italian"
hot dawg street food,74,Calgary,Pub Food
hot million indian cuisine,86,Calgary,Indian
hot point fusion cafe,72,Calgary,"Thai, Korean, Japanese, Chinese"
hot wok cafe,81,Calgary,Chinese
hot wok express,81,Calgary,Chinese
house of eat and drink restaurant,93,Calgary,"Vietnamese, Chinese"
house of kabob,79,Calgary,Middle Eastern
house of mandi,93,Calgary,"Middle Eastern, Indian"
howie's pizza,95,Calgary,Fast Food
hudsons canada's pub,95,Calgary,Pub Food
hue thuong,87,Calgary,Vietnamese
hula poke,80,Calgary,Japanese
humpty's family restaurant,83,Calgary,Pub Food
hungers stop,100,Calgary,Pub Food
hurry curry,99,Calgary,Indian
hy's steakhouse & cocktail bar,86,Calgary,Mediterranean
hyderabad biryani indian restaurant,80,Calgary,Indian
hyderabad house,73,Calgary,Indian
hyderabadi kitchen,73,Calgary,Indian
ibaoza,93,Calgary,"Fast Food, Chinese"
ice cream & koo,80,Calgary,Fast Food
ichi rock japanese restaurant,86,Calgary,Japanese
ihop,74,Calgary,Pub Food
ikusa izakaya & tokyo market,99,Calgary,Japanese
il centro,89,Calgary,Italian
il forno fusion,79,Calgary,Pub Food
imperial dynasty restaurant,98,Calgary,Chinese
imperial shawarma,98,Calgary,Middle Eastern
incha,93,Calgary,Japanese
india palace restaurant & sweets,94,Calgary,Indian
india restaurant,93,Calgary,"Indian, Chinese"
indian accent - kitchen and bar,89,Calgary,"Indian, Chinese"
indian curry hut,94,Calgary,Indian
indian express yyc,80,Calgary,"Pub Food, Indian"
indian flavors,94,Calgary,Indian
indian kitchen,87,Calgary,Indian
indian kitchen strathcona,100,Calgary,Indian
indian kitchen vegetarian & vegan restaurant,93,Calgary,Indian
indian masala bistro,100,Calgary,"Fast Food, Indian"
indian ocean,86,Calgary,"Fast Food, Indian"
indian tales,84,Calgary,Indian
indian tavern kitchen & bar,84,Calgary,Indian
indian to go,80,Calgary,Indian
indie counterculture - legit indian street food & curry,100,Calgary,Indian
indique fine indian cuisine,97,Calgary,Indian
ins market (sunridge mall),79,Calgary,"Fast Food, Convenience"
insadong korean bbq restaurant,86,Calgary,"Korean, Chinese"
international kitchen,85,Calgary,"Middle Eastern, Mexican"
involtini ristorante,75,Calgary,Italian
ishtar restaurant,80,Calgary,"Middle Eastern, Indian"
istanbul doner,80,Calgary,Mediterranean
itoko sushi,96,Calgary,Japanese
iyycburg,83,Calgary,Fast Food
izumi kitchen & bar,98,Calgary,"Korean, Japanese"
jack astor's bar & grill,75,Calgary,Pub Food
jackie's thai,83,Calgary,Thai
jacqueline's bistro - calgary,80,Calgary,"Italian, Indian"
jade garden chinese restaurant,97,Calgary,Chinese
jaffa shawarma,75,Calgary,Middle Eastern
jaja cafe,82,Calgary,Ethiopian
jamesons irish pub,87,Calgary,Pub Food
jamesons pub,94,Calgary,Pub Food
jane bond bbq south,99,Calgary,Pub Food
japanese village,83,Calgary,Japanese
jasmine restaurant,80,Calgary,"Middle Eastern, Mediterranean"
"jesse's pizza, chicken, & empanadas",80,Calgary,Fast Food
jia jia asian street food & bar,94,Calgary,Vietnamese
jianghu asian food,80,Calgary,Chinese
jimmy's a&a mediterranean deli,90,Calgary,"Fast Food, Middle Eastern, Indian"
jinbar,90,Calgary,Korean
jinya ramen bar,91,Calgary,Japanese
jj's neighbourhood pub,80,Calgary,"Pub Food, Italian"
joey,78,Calgary,Pub Food
joey's fish shack,81,Calgary,Pub Food
joey's seafood restaurant,91,Calgary,Pub Food
john wong's chinese restaurant,94,Calgary,Chinese
jojo's wings,93,Calgary,"Fast Food, Chinese"
jolly good chinese and thai food,85,Calgary,"Fast Food, Thai, Chinese"
jon's pizza,91,Calgary,Fast Food
jordan valley shawarma,81,Calgary,Middle Eastern
jorge's burritos,91,Calgary,Mexican
joyce on 4th pub,94,Calgary,"Pub Food, Italian"
joycee's caribbean food,80,Calgary,Caribbean
jps indian bistro,79,Calgary,Indian
jsk indian restaurant,80,Calgary,"Middle Eastern, Indian, Chinese"
juk african & caribbean food store,78,Calgary,"African, Caribbean"
juliet's castle sports lounge,80,Calgary,"Fast Food, Italian"
jun katsu,97,Calgary,Japanese
"junction - food, stage, bar",80,Calgary,"Middle Eastern, Pub Food, Indian"
jusbubble cafe,89,Calgary,Convenience
jusbubble pot,80,Calgary,Japanese
jusfruit,96,Calgary,"Japanese, Chinese"
k street food,97,Calgary,"Korean, Japanese, Chinese"
k town fried chicken,95,Calgary,Korean
k&b noodle house,80,Calgary,"Chinese, Vietnamese"
k-one bubble tea and snacks,94,Calgary,Chinese
k-thi vietnamese cuisine,94,Calgary,Vietnamese
kabob fusion,95,Calgary,Indian
kabob garden - afghan kitchen,88,Calgary,"Middle Eastern, Indian"
kabul restaurant,80,Calgary,Middle Eastern
kaffir lime indonesia grill,80,Calgary,Thai
kain der yah,83,Calgary,Filipino
kala namak fine indian cuisine,82,Calgary,Fast Food
kalyna,92,Calgary,Convenience
kam han szechuan house,89,Calgary,Chinese
kangnam station,72,Calgary,"Korean, Japanese"
kanikas kitchen,94,Calgary,Indian
kanpai sushi on 8th,80,Calgary,Japanese
karma fine indian cuisine,95,Calgary,Indian
katsu 17,93,Calgary,Korean
kayf cafe,80,Calgary,Indian
ke charcoal grill & sushi,98,Calgary,Japanese
kebab king,80,Calgary,"Middle Eastern, Indian"
ken's chinese restaurant,96,Calgary,Chinese
kerby centre,74,Calgary,Fast Food
kfc,88,Calgary,Fast Food
kfs bbq smokehouse,98,Calgary,"Pub Food, African"
khan baba foods & pizza house,73,Calgary,Indian
khan's kitchen,80,Calgary,Middle Eastern
kilkenny irish pub,92,Calgary,"Pub Food, Italian"
kim anh vietnamese submarines,97,Calgary,Vietnamese
kim chi house,100,Calgary,Korean
kim lan,99,Calgary,Vietnamese
kim's 2 for 1 pizza,80,Calgary,Fast Food
kim's corn dog and chicken,93,Calgary,"Korean, Vietnamese"
kim's fried chicken,80,Calgary,Korean
kim's katsu,95,Calgary,Japanese
kims katsu and roll,93,Calgary,Japanese
kin's chinese food,88,Calgary,Chinese
king of shawarma,83,Calgary,"Fast Food, Indian"
king pizza house,95,Calgary,Italian
king's chinese food,95,Calgary,Chinese
king's head,80,Calgary,Pub Food
kingfisher seafood,93,Calgary,Japanese
kings kabob,80,Calgary,Indian
kings restaurant,74,Calgary,Chinese
kingwuu,80,Calgary,Chinese
kinjo express,73,Calgary,"Fast Food, Japanese"
kinjo sushi and grill,92,Calgary,Japanese
kirin sushi dimsum & buffet,80,Calgary,Japanese
kiro sushi,70,Calgary,Japanese
kiwa restaurant,93,Calgary,"Korean, Chinese"
knead pizza,83,Calgary,Fast Food
koji katsu,98,Calgary,Japanese
koko's restaurant and sports bar,75,Calgary,"Pub Food, Chinese"
kolachi bbq & grill,80,Calgary,Indian
kona poke,75,Calgary,Chinese
koob,82,Calgary,Fast Food
korean fried chicken,80,Calgary,Korean
kothu kadai take out & catering ltd,80,Calgary,Indian
koto sushi,82,Calgary,Japanese
koyla the charcoal,78,Calgary,Indian
krazy jerk,74,Calgary,Caribbean
kreta souvlaki,99,Calgary,"Fast Food, Mediterranean"
krispy chicken & fries,84,Calgary,Fast Food
krunch pizza,80,Calgary,Italian
kung fu restaurant,80,Calgary,"Fast Food, Chinese"
kurry up,82,Calgary,"Middle Eastern, Indian"
kuzina,80,Calgary,Mediterranean
kwality meat shop,80,Calgary,"Indian, Chinese"
kwality meat shop restaurant,91,Calgary,Indian
l'epicerie,80,Calgary,"French, Korean"
la brezza ristorante,92,Calgary,Italian
la cantina,80,Calgary,Italian
la casa latina,92,Calgary,"Pub Food, Mexican"
la cipolla d'oro,94,Calgary,Italian
la jawab indian & hakka chinese cuisine,91,Calgary,"Indian, Chinese"
la luna rossa,80,Calgary,Italian
la pino'z pizza,93,Calgary,Fast Food
la prep,80,Calgary,Fast Food
la trattoria,80,Calgary,"Italian, Mediterranean"
la viena,86,Calgary,Italian
la-zee-za pizza & pub,93,Calgary,Pub Food
lac viet vietnamese restaurant,97,Calgary,"Korean, Vietnamese"
lakeview corner cafe & sushi,80,Calgary,Japanese
las canarias,78,Calgary,Spanish
last best brewing & distilling,75,Calgary,Pub Food
last best brewing and distilling,94,Calgary,Pub Food
last straw ale house,87,Calgary,Pub Food
late night crave,72,Calgary,Pub Food
latin american empanadas ltd.,93,Calgary,"Spanish, Latin American"
latin food specialties,72,Calgary,Latin American
latin food specialties market and kitchen,93,Calgary,"Mediterranean, Mexican"
lava grill,82,Calgary,Middle Eastern
lava grill mediterranean cuisine,93,Calgary,"Pub Food, Mediterranean"
lava grill seton,96,Calgary,Middle Eastern
lazeez indian cuisine and sweets,84,Calgary,Indian
lazy monkey chinese food,96,Calgary,Chinese
ldv pizza bar,92,Calgary,Italian
le la vietnamese restaurant,87,Calgary,Vietnamese
le sizzlin',80,Calgary,Japanese
lebanhmi,76,Calgary,Vietnamese
legend 7 brewery,80,Calgary,Pub Food
lemon grass kitchen,90,Calgary,Thai
lemon n spice,80,Calgary,Indian
leo fu's szechwan & mandarin,95,Calgary,Chinese
leopold's tavern,84,Calgary,Pub Food
let's taco bout it,80,Calgary,Mexican
lets grill restaurant calgary,93,Calgary,Chinese
levilla restaurant,93,Calgary,French
li-ao sushi,98,Calgary,Japanese
liberty lounge,80,Calgary,"Italian, Indian, Mexican"
lighthouse indian kitchen,88,Calgary,Indian
lil empire annex,91,Calgary,Fast Food
lil empire bridgeland,98,Calgary,Fast Food
lil empire capitol hill,96,Calgary,Fast Food
lily vietnamese submarines,99,Calgary,Vietnamese
limericks traditional public house,78,Calgary,"Pub Food, Italian"
lina's italian mercato,86,Calgary,Fast Food
lina's italian supermercato,81,Calgary,Fast Food
liquor emporium,93,Calgary,Convenience
little caesars,85,Calgary,Fast Food
little city chinese food,95,Calgary,"Thai, Chinese"
little india,78,Calgary,Indian
little lebanon,98,Calgary,Mediterranean
little spice,89,Calgary,"Middle Eastern, Indian"
liyu restaurant,71,Calgary,Ethiopian
local 510 kitchen & public tavern,82,Calgary,Pub Food
local 522 public tavern & kitchen,82,Calgary,Pub Food
lolas cluck and oink,67,Calgary,Filipino
lorenzo's pizzeria & palliser diner,74,Calgary,"Italian, Mediterranean"
los chilitos taqueria,80,Calgary,Mexican
lotus deli,79,Calgary,Vietnamese
lotus fine indian cuisine,93,Calgary,Indian
lotus vietnamese noodle house,85,Calgary,Chinese
lounge central,80,Calgary,Pub Food
lounge eighteen,80,Calgary,Pub Food
lovely sweets & restaurant,86,Calgary,Middle Eastern
lovely sweets and restaurant,82,Calgary,Indian
lovely sweets street eats,82,Calgary,Indian
lovely's sweet house,90,Calgary,Indian
lunch box deli,77,Calgary,"Fast Food, Korean"
luubann restaurant,80,Calgary,African
luxor emporium & cafe,80,Calgary,Middle Eastern
luxor emporium cafe,75,Calgary,Middle Eastern
m & n pizza & restaurant,93,Calgary,"Fast Food, Italian"
m bistro,96,Calgary,"Chinese, Vietnamese"
m palace seafood & dim sum restaurant,80,Calgary,Chinese
macleods public house,91,Calgary,Pub Food
mad rose pub & restaurant,75,Calgary,Pub Food
made foods,80,Calgary,Japanese
madison's 1212,99,Calgary,Mexican
madison's restaurant & bar (beddington towne centre),89,Calgary,Pub Food
madras cafe,90,Calgary,Indian
madrose pub royal oak,75,Calgary,"Italian, Mediterranean"
magic bowl chinese eatery,72,Calgary,Chinese
magma pizza & more,98,Calgary,Fast Food
maharajah east indian restaurant,92,Calgary,Indian
mai's submarine & deli,75,Calgary,"Thai, Chinese, Vietnamese"
major spud & the kernel,75,Calgary,Pub Food
malabar cafe,80,Calgary,Indian
mama's butter chicken,78,Calgary,Indian
mamak dang malaysian fusion,93,Calgary,Thai
man vs fries,80,Calgary,Pub Food
man vs fries by reef kitchens,78,Calgary,"Fast Food, Pub Food"
manchuwok,95,Calgary,"Fast Food, Japanese, Chinese"
mango shiva,86,Calgary,Indian
manna korean cuisine,93,Calgary,Korean
manohar vegetarian bakery,71,Calgary,Indian
marcello's market and deli,72,Calgary,"Fast Food, Italian"
margo's kitchen,80,Calgary,Mediterranean
marhaba restaurant,93,Calgary,Indian
marina dosa & tandoori grill,80,Calgary,Indian
marina dosa and tandoori grill,74,Calgary,"Indian, Chinese"
markato convenience store,80,Calgary,"Fast Food, Convenience"
market restaurant,82,Calgary,Pub Food
marko's kitchen,93,Calgary,Mediterranean
mary brown's chicken,83,Calgary,Fast Food
mary brown's famous chicken & taters - just eat,75,Calgary,Fast Food
mary's old style deli,97,Calgary,Pub Food
masa sushi,93,Calgary,Japanese
masala art indian restaurant,88,Calgary,Indian
masala bhavan indian restaurant,91,Calgary,Indian
masala express,75,Calgary,Indian
masala hut,80,Calgary,Indian
masala mantra,80,Calgary,Indian
maurya fine east indian cuisine,80,Calgary,Indian
maximus pizza,80,Calgary,Fast Food
mazaj lounge & restaurant,75,Calgary,Mediterranean
mazaj mediterranean cuisine,80,Calgary,"Middle Eastern, Indian, Mediterranean"
mazaya,80,Calgary,"Middle Eastern, Mediterranean"
mcdonald's,85,Calgary,Fast Food
mckenzie meadows golf club,73,Calgary,Pub Food
meat & eat,79,Calgary,Mediterranean
mehfil curry & kebab,72,Calgary,Indian
mehfil curry and kebab,71,Calgary,Indian
melted grill,80,Calgary,Pub Food
menyatai japanese noodles,94,Calgary,Japanese
mercato,82,Calgary,"Fast Food, Italian"
meshi,80,Calgary,"Korean, Japanese"
mesob restaurant and bar,80,Calgary,Ethiopian
metro fairway sports lounge,89,Calgary,"Fast Food, Pub Food"
mexico city fresh food market,81,Calgary,Mexican
mexikan korner eatery,80,Calgary,Mexican
mi noodles,80,Calgary,Chinese
mia pasta,74,Calgary,Italian
mia pasta by reef kitchens,80,Calgary,Italian
midori japanese cafe,99,Calgary,"Korean, Japanese"
migarock,84,Calgary,Korean
mighty halifax style donair,90,Calgary,Mediterranean
mighty mango chinese restaurant,98,Calgary,Chinese
mikey's on 12th,73,Calgary,"Pub Food, Mexican"
mikey's taco shop,94,Calgary,Mexican
miku sushi,95,Calgary,Japanese
milestones grill + bar,88,Calgary,Pub Food
mimo restaurant,82,Calgary,Mediterranean
mina's vietnamese,79,Calgary,Vietnamese
ming asian kitchen,82,Calgary,"Pub Food, Thai, Chinese"
ming asian kitchen - just eat,75,Calgary,"Pub Food, Thai, Chinese"
minhas pizza brew,74,Calgary,Pub Food
mint leaf indian sweets and restaurant,84,Calgary,Indian
mio pizza,99,Calgary,"Pub Food, Italian"
miraj restaurant,93,Calgary,Indian
mirchi - just eat,75,Calgary,Indian
mirchi2go,82,Calgary,Indian
misai japa café,90,Calgary,"Korean, Japanese"
misai japanese - just eat,75,Calgary,Japanese
mister chen's asian brasserie,82,Calgary,"Korean, Japanese, Chinese"
mitillinis pizza & steak house,82,Calgary,Italian
mix grill shawarma,74,Calgary,"Middle Eastern, Indian"
mj's cuisine and convenience store,80,Calgary,Indian
mob cafe @ the asylum for art,93,Calgary,Pub Food
moe's halal street food,80,Calgary,Middle Eastern
mohave grill,72,Calgary,Mexican
mojo's pizza & donair - just eat,75,Calgary,"Fast Food, Middle Eastern, Italian"
molly malone's irish pub,80,Calgary,Pub Food
mom's place family restaurant,90,Calgary,Fast Food
momma jean's restaurant,99,Calgary,Fast Food
momo-yama sushi japanese cuisine,98,Calgary,Japanese
momoko sushi,93,Calgary,Japanese
monsoon izakaya,99,Calgary,Japanese
montana's bbq & bar,76,Calgary,Pub Food
montana's bbq & bar - just eat,75,Calgary,Pub Food
monte carlo,80,Calgary,Mexican
monza pizza,99,Calgary,"Middle Eastern, Italian"
moon korean bbq,98,Calgary,Korean
moon's kitchen restaurant,80,Calgary,"Korean, Japanese, Chinese"
more than subs viet kitchen,81,Calgary,Vietnamese
moroccan tent,75,Calgary,Mediterranean
mother's pizza,93,Calgary,Pub Food
moti mahal,92,Calgary,Indian
mount everest authentic nepalese and indian cuisine,82,Calgary,Indian
mount royal pita,74,Calgary,"Middle Eastern, Fast Food, Indian"
mozy cafe,80,Calgary,"Fast Food, Mediterranean"
mr. guo's cafe,80,Calgary,Chinese
mr. lu japanese street food,97,Calgary,Japanese
mr.schnapps restaurant & bar,88,Calgary,Pub Food
mr.sub,97,Calgary,Fast Food
ms. vanellis,99,Calgary,"Fast Food, Italian"
mugs pub,87,Calgary,"Pub Food, Italian"
mulligan's lounge,80,Calgary,Pub Food
mulligans restaurant,80,Calgary,Pub Food
mumbai bites,74,Calgary,Indian
mumbai bites inc,81,Calgary,Indian
mumbai bites inc.,85,Calgary,"Indian, Chinese"
munchies and smoke,85,Calgary,"Convenience, Japanese, Mexican"
murdoch's bar & grill,98,Calgary,Pub Food
mvp cafe and sports lounge,80,Calgary,Pub Food
my chicken & meat,92,Calgary,Korean
my donair,95,Calgary,Middle Eastern
my donair westbrook,94,Calgary,Middle Eastern
my little bistro,80,Calgary,Chinese
my little bistro venezuelan cuisine,75,Calgary,"Latin American, Caribbean, Mexican"
my party platter,80,Calgary,Indian
my vietnamese delight,80,Calgary,Vietnamese
mykonos street grill,80,Calgary,Mediterranean
mymy sub,97,Calgary,Vietnamese
naan stop grill and samosa factory,72,Calgary,Indian
naina's pizza,80,Calgary,Fast Food
nam vietnamese kitchen,65,Calgary,Vietnamese
namskar cuisine of india,95,Calgary,Indian
nan's noodle house,86,Calgary,"Chinese, Vietnamese"
nanta karaoke and bar,80,Calgary,Korean
nanum restaurant,93,Calgary,Korean
national on 8th,80,Calgary,Pub Food
native tongues taqueria,90,Calgary,Mexican
nem delight,80,Calgary,Vietnamese
new camp bar & table,79,Calgary,Pub Food
new dynasty buffet and bar,91,Calgary,Chinese
new green chilli grill,95,Calgary,Indian
new mission general store,74,Calgary,Convenience
new york fries,92,Calgary,"Fast Food, Pub Food"
newcastle pub,82,Calgary,Pub Food
nha trang vietnamese cuisine,97,Calgary,Vietnamese
night owl,98,Calgary,Vietnamese
niko's bistro,85,Calgary,Italian
niko's pizza,99,Calgary,Italian
nile cafe,80,Calgary,"Middle Eastern, African, Mediterranean"
nirvana,72,Calgary,Indian
nirvana restaurant,82,Calgary,"Indian, Chinese"
nixx pub,82,Calgary,Pub Food
no.1 chinese hamburger and spring rolls,80,Calgary,Chinese
nonna's italian kitchen,80,Calgary,Italian
nonno sq pies,78,Calgary,Italian
noodle & grill house,93,Calgary,Vietnamese
noodle king,80,Calgary,Vietnamese
noodle queen,80,Calgary,"Chinese, Vietnamese"
noodle world restaurant ltd.,97,Calgary,"Vietnamese, Chinese"
noodlebox,90,Calgary,Thai
norleys authentic colombian street food,92,Calgary,Fast Food
north haven convenience & grocery,93,Calgary,Convenience
not just curry,78,Calgary,Middle Eastern
nu:salmon,92,Calgary,"Korean, Japanese"
o'cup,80,Calgary,"Chinese, Vietnamese"
o-my kimbap & o-my snow,88,Calgary,Korean
oak tree tavern,75,Calgary,"Fast Food, Italian"
oakridge phoenix,100,Calgary,Chinese
ocho rios authentic caribbean cuisine,80,Calgary,Mexican
odd burger,94,Calgary,Mexican
oddball burrito -,98,Calgary,Mexican
odyssey pizza & steak house,80,Calgary,Italian
ogam korean chicken express,99,Calgary,Fast Food
ogam: chicken & korean restaurant,97,Calgary,Korean
oh my dog bbq,80,Calgary,Fast Food
oishidesu ramen shack,77,Calgary,Japanese
oishii sushi,74,Calgary,Japanese
oishii sushi & bento,98,Calgary,Japanese
oj poke & grill,88,Calgary,"Latin American, Korean"
ola poke,98,Calgary,"Japanese, Indian"
old bratwurst wagon,80,Calgary,Fast Food
olea restaurant,83,Calgary,Italian
olive chicken,96,Calgary,"Fast Food, Chinese"
olive grove,80,Calgary,Fast Food
olive grove midnapore,82,Calgary,Italian
olive grove pizzeria,99,Calgary,Italian
om cuisine of india,96,Calgary,Indian
omo teppan and kitchen,78,Calgary,Japanese
on the run,77,Calgary,Convenience
one night stan's,75,Calgary,Pub Food
one stop convenience,82,Calgary,Convenience
one stop convenience and grocery store,72,Calgary,Convenience
onigirazu,80,Calgary,Japanese
ono poke co,91,Calgary,Korean
ookini ramen,77,Calgary,Japanese
op to go,80,Calgary,Vietnamese
opa!,80,Calgary,Mediterranean
oriental dumplings,80,Calgary,Chinese
oriental grill vietnamese cuisine,98,Calgary,Vietnamese
oriental palace,81,Calgary,Chinese
oriental phoenix,100,Calgary,Vietnamese
oriental wok,77,Calgary,Chinese
original sweets & catering,74,Calgary,Indian
oro azul,80,Calgary,Mexican
osaka sushi by mr.lu,93,Calgary,Japanese
osmow's,84,Calgary,"Middle Eastern, Mediterranean"
osteria chef's table,82,Calgary,Italian
otk noodle house,80,Calgary,Vietnamese
oven flames pizza,99,Calgary,Indian
owens landing,82,Calgary,Pub Food
pacini,83,Calgary,Italian
pad thai,96,Calgary,Thai
palace pizza & donair,80,Calgary,"Pub Food, Indian"
panago pizza,96,Calgary,"Italian, Mediterranean"
pangaea pizza,98,Calgary,Fast Food
papa nikolas pizza,98,Calgary,Italian
papa shunde chinese restaurant,82,Calgary,Chinese
papito's chicken,80,Calgary,"Middle Eastern, Indian"
papito's chicken - dnu2,80,Calgary,Indian
paradise biryani yyc,80,Calgary,Indian
parm,80,Calgary,Italian
partners pub & grill,84,Calgary,Pub Food
pat's place,80,Calgary,Fast Food
pathway burgers & momos,99,Calgary,Fast Food
pattyshack burgers & fries,83,Calgary,Fast Food
pazzi pizzeria,93,Calgary,Italian
peak pizza,80,Calgary,Fast Food
pearl express,90,Calgary,Chinese
pebble street,92,Calgary,Chinese
peerless pearl tea shop calgary inc.,80,Calgary,Chinese
peking dragon,82,Calgary,Chinese
peking dragon restaurant,96,Calgary,Chinese
peking garden,97,Calgary,Chinese
peking house 98,80,Calgary,Chinese
penny black,88,Calgary,Pub Food
pepe's perogies,71,Calgary,Pub Food
peppino 17th,99,Calgary,"Fast Food, Italian"
peppino's mahogany,99,Calgary,Mediterranean
petra shawarma,91,Calgary,Mediterranean
petro-canada,84,Calgary,Convenience
pha le restaurant,76,Calgary,Vietnamese
phi nhung vietnamese pho+cuisine,97,Calgary,Vietnamese
phil's on 11th,79,Calgary,Pub Food
philly fred,89,Calgary,Pub Food
pho 26,86,Calgary,Vietnamese
pho 501 vietnamese,96,Calgary,Vietnamese
pho 88 noodle house,86,Calgary,Vietnamese
pho anh,93,Calgary,Vietnamese
pho anh huyen noodle house,82,Calgary,"Vietnamese, Chinese"
pho binh minh,77,Calgary,Vietnamese
pho chu the,91,Calgary,Vietnamese
pho city,96,Calgary,"Korean, Chinese, Vietnamese"
pho daddy,95,Calgary,Vietnamese
pho dau bo,70,Calgary,Vietnamese
pho duy thanh,80,Calgary,Vietnamese
pho express,97,Calgary,Vietnamese
pho ha,95,Calgary,Korean
pho han vietnamese noodle house,73,Calgary,"Thai, Vietnamese"
pho hao,79,Calgary,Vietnamese
pho hoa vietnamese noodle house,92,Calgary,Vietnamese
pho hoan pasteur,82,Calgary,Vietnamese
pho hoan pasteur township,96,Calgary,Vietnamese
pho hoan restaurant,94,Calgary,"Pub Food, Vietnamese"
pho houz vietnamese kitchen,93,Calgary,Vietnamese
pho huong viet,95,Calgary,Vietnamese
pho huong viet 2nd location - pho mr. q,93,Calgary,Vietnamese
pho kim,82,Calgary,Vietnamese
pho kim restaurant,99,Calgary,"Korean, Chinese"
pho li vietnamese cuisine,80,Calgary,Vietnamese
pho lyn,80,Calgary,Vietnamese
pho mai thy,97,Calgary,Vietnamese
pho master,80,Calgary,Vietnamese
pho nam vietnamese cuisine,92,Calgary,Vietnamese
pho pham,89,Calgary,Vietnamese
pho phu huong,82,Calgary,Vietnamese
pho phuong vi noodle house,82,Calgary,Vietnamese
pho phuong vietnamese cuisine,83,Calgary,Vietnamese
pho rang dong,92,Calgary,Vietnamese
pho sate,95,Calgary,Vietnamese
pho so 1,80,Calgary,Vietnamese
pho thanh nga,94,Calgary,Vietnamese
pho thanh vietnamese noodle house,87,Calgary,Vietnamese
pho time,96,Calgary,"Thai, Korean, Vietnamese, Chinese"
pho tina vietnamese restaurant,85,Calgary,Thai
pho uncle ten,93,Calgary,Vietnamese
pho v vietnamese cuisine,73,Calgary,Vietnamese
pho van,97,Calgary,Vietnamese
pho vietnamese noodle soup,76,Calgary,Vietnamese
pho vietnamese village,99,Calgary,Vietnamese
pho vy,80,Calgary,Vietnamese
pho x.o,97,Calgary,Vietnamese
pho xinh xinh,80,Calgary,Vietnamese
pho yyc,94,Calgary,Vietnamese
phoenix grill,75,Calgary,Italian
phoenix kitchen,90,Calgary,Chinese
phu quy restaurant,83,Calgary,Vietnamese
pie stories,80,Calgary,Pub Food
pink pearl chinese restaurant,99,Calgary,Chinese
pita corner,82,Calgary,Middle Eastern
pita grill,98,Calgary,"Middle Eastern, Mediterranean"
pita stop,72,Calgary,Mediterranean
pizza & tandoori flavours,80,Calgary,Indian
pizza 22 & ribs,81,Calgary,"Pub Food, Italian"
pizza 36,80,Calgary,"Indian, Mediterranean"
pizza 73,80,Calgary,"Fast Food, Pub Food"
pizza bank,98,Calgary,Italian
pizza bob's,80,Calgary,Italian
pizza box,84,Calgary,Italian
pizza culture,88,Calgary,Italian
