short_name,African,Alcohol,Bakery,Barbecue,Beef,Breakfast & Brunch,Bubble Tea,Burgers,Butcher,Canadian,Caribbean,Chicken,Chinese,Coffee/Tea,Convenience,Desserts,Ethiopian,Fast Food,Filipino,French,Fries,German,Gluten Free,Halal,Haute Cuisine,Healthy,Hot Dogs & Sausages,Indian,Italian,Japanese,Korean,Kosher,Lamb,Latin American,Mediterranean,Mexican,Middle Eastern,Noodles,Pet Food,Pizza,Popcorn,Pork,Pub Food,Rice,Sandwiches & Subs,Seafood,Soup,Spanish,Steakhouse,Sushi,Tacos,Thai,Vegetarian,Vietnamese
demo1,0.0,0.0011627906976743997,0.027297895902547047,0.004651162790697659,0.0023255813953488194,0.008139534883720918,0.0,0.08921906402526557,0.005147450883884975,0.0011627906976743997,0.0,0.06990074238136254,0.0,0.0023255813953488194,0.0,0.012796850006152318,0.0,0.0023255813953488194,0.0,0.0,0.033640949920019675,0.0,0.0,0.0,0.0,0.07177310200566013,0.0,0.0023255813953488194,0.02712152905951354,0.02357778598088674,0.0,0.0,0.0,0.0,0.019273204544522356,0.0038246995611336517,0.010735818875353744,0.0,0.004651162790697659,0.03634182355112587,0.011039333907550943,0.009919609532012623,0.3687174439112424,0.0011627906976743997,0.04183175423485499,0.022304253312005237,0.030306386120339597,0.0,0.03239612813256222,0.0,0.015624871826422195,0.0,0.0069767441860464985,0.0
demo2,0.0,0.6601284470873119,0.00437084022498068,0.0014425371256386178,0.002090077275369468,0.0,0.0,0.0,0.01697230300724493,0.01130287305496807,0.001953371875506188,0.0,0.0,0.035311660013122824,0.0,0.0010396629245279156,0.0,0.0,0.0,0.00037412935000425047,0.0,0.0,0.002618905450029853,0.0,0.006151519851037958,0.06780671004630516,0.0,0.003248452174967889,0.0028708133971291796,0.008115643152857784,0.0,0.00013670539986327995,0.0016979545005724028,0.0,0.0006295467249380356,0.0002554173749337652,0.0,0.0,0.03624336238889389,0.0,0.0,0.0,0.13147978067496033,0.00039212277479706517,0.00013670539986327995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002582918600444224,0.0006475401497308504
demo3,0.0,0.0,0.0863449010015203,0.1060255989901084,0.029211742248347515,0.2336939379867803,0.0,0.012756858618565074,0.0,0.04593933090850014,0.0,0.029211742248347515,0.0,0.01211169574680395,0.0,0.008066151096950885,0.0,0.0,0.003027923936700947,0.03824563765294014,0.0117641761081682,0.0,0.0,0.0,0.0,0.06117870340302584,0.024198453290852764,0.01777014757605982,0.00940635324598351,0.003027923936700947,0.0,0.0,0.0,0.0,0.003027923936700947,0.029881843322863824,0.0,0.0,0.0,0.0,0.0,0.04167095763378721,0.030874525833260703,0.008066151096950885,0.024496096523978134,0.0278466018965597,0.026531337950282265,0.0,0.0194578693637282,0.0,0.007718631458315135,0.0,0.04844678298721591,0.0
demo4,0.0,0.0,0.0016289916854717913,0.01012806802022509,0.00746969965007355,0.04096545670731367,0.0,0.0011733907976189887,0.00023271309792452445,0.0012291127451010532,0.0,0.09229438200723522,0.0,0.0,0.0,0.0008653051362198069,0.0,0.004696928697480973,0.0,0.0026287568396532977,0.0026287568396532977,0.0,0.0,0.0,0.0,0.0008554798282235205,0.0021238938053097195,0.2796894364378389,0.14133897867341083,0.0,0.0,0.0,0.0,0.0,0.0027925571750944934,0.0012291127451010532,0.004038090635692486,0.0,0.0,0.28620526757321674,0.0,0.01494936021465277,0.023685057580373047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010619469026548597,0.0,0.07608925620446008,0.0
demo5,0.0,0.0,0.028774356370216254,0.011164211763471772,0.0152707244050584,0.01930369533184991,0.0,0.015701304056112225,0.0,0.01721366815365904,0.0,0.03993856813368803,0.0,0.0,0.0,0.01379246350547991,0.0,0.36429646959640655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001908840550632258,0.0076353622025292,0.0,0.0076353622025292,0.0,0.0,0.0,0.0,0.0,0.008643604934227077,0.0,0.0,0.0,0.0,0.31637083664278903,0.0,0.07509065095124039,0.03795618586826065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01930369533184991,0.0
demo6,0.0,0.8188005849613639,0.003525643961250875,0.0,0.0017628219806254276,0.0,0.0,0.0,0.0028368794326240994,0.09292520371371085,0.0,0.0,0.0,0.01902284585535333,0.0,0.0028368794326240994,0.0,0.0,0.0,0.0,0.0,0.0,0.0014184397163120397,0.0,0.0,0.018497723962960587,0.0,0.0017628219806254276,0.0,0.0,0.0,0.0014184397163120397,0.0,0.0,0.0014184397163120397,0.0,0.0,0.0,0.030936396137301037,0.0,0.0,0.0,0.0,0.0014184397163120397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014184397163120397,0.0
demo7,0.0,0.009243372731945728,0.01436072757040726,0.04240727973820728,0.04293879511080112,0.009243372731945728,0.0,0.05535888382034253,0.0,0.019334694808448127,0.0,0.17532002419297332,0.007762555443463384,0.0,0.0,0.014289033770196927,0.0,0.0,0.0,0.0,0.05870864616948039,0.0,0.0,0.0,0.0,0.040926462449724935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03447167792320172,0.0,0.0,0.0,0.1431350778737218,0.0,0.13131819833698455,0.07469357862879066,0.009243372731945728,0.09293558392092963,0.010795883820638404,0.0,0.0,0.0015525110886926768,0.0,0.0,0.0,0.011960267137157912,0.0
demo8,0.0,0.762589928057554,0.0035971223021582,0.0,0.0,0.0,0.0,0.0,0.014388489208633,0.0431654676258992,0.0017985611510791,0.0,0.0,0.0053956834532374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039568345323741,0.0179856115107913,0.0,0.0323741007194244,0.0431654676258992,0.0,0.0,0.0,0.0071942446043165,0.0,0.0,0.0,0.0,0.0,0.0287769784172661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
demo9,0.0,0.0,0.0,0.0,0.009580838323353278,0.0023952095808383194,0.0,0.0,0.0,0.0,0.0,0.024654638465188325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05675731751492753,0.010470623649038183,0.0023952095808383194,0.379304157943698,0.0,0.0,0.0,0.0,0.0,0.03100694379488679,0.0,0.011029120401627868,0.0,0.0,0.3559467829464615,0.0,0.04306581384235221,0.0436287323110099,0.0,0.0,0.004790419161676639,0.0,0.0,0.0,0.0,0.0,0.0,0.024974192484103062,0.0
demo10,0.0,0.6734787110830903,0.0021705704314129285,0.00015879317189360857,0.0021968374189617144,0.0006001500375093599,0.0,0.00015003750937733998,0.0194177365302024,0.13293573492618885,0.0012528340501163314,0.00015003750937733998,0.00045011252813201985,0.06434863976017821,0.0,0.003282122634668189,0.0,0.0004588681906482885,0.0,0.003450862715678919,0.0,0.0022505626406601597,0.000917736381296577,0.0,0.0030357728376119338,0.040372062050844176,0.0,0.006307948563163021,0.00015003750937733998,0.0,0.0,0.0,0.0010765295531901856,0.00030007501875467995,0.0,0.0,0.0,0.0,0.030269397440666236,0.0,0.0,0.0,0.005206343269024862,0.0045524680098170565,0.00015003750937733998,0.0007589432094029685,0.0,0.0,0.0,0.0,0.0,0.00015003750937733998,0.0,0.0
